순번,조문,제목,시작페이지,종료페이지,방식,파일명
78,제78조,환기장치의 가동,51,51,card,078_제78조_환기장치의 가동.pdf
79,제79조,휴게시설,53,53,card,079_제79조_휴게시설.pdf
80,제79조의2,세척시설 등,53,53,card,080_제79조의2_세척시설 등.pdf
81,제80조,의자의 비치,53,53,card,081_제80조_의자의 비치.pdf
82,제81조,수면장소 등의 설치,53,53,card,082_제81조_수면장소 등의 설치.pdf
83,제82조,구급용구,53,53,card,083_제82조_구급용구.pdf
84,제83조,가스 등의 발산 억제 조치,55,55,card,084_제83조_가스 등의 발산 억제 조치.pdf
85,제84조,공기의 부피와 환기,55,55,card,085_제84조_공기의 부피와 환기.pdf
86,제85조,잔재물등의 처리,55,55,card,086_제85조_잔재물등의 처리.pdf
87,제86조,탑승의 제한,59,59,card,087_제86조_탑승의 제한.pdf
88,제87조,원동기·회전축 등의 위험 방지,61,61,card,088_제87조_원동기·회전축 등의 위험 방지.pdf
89,제88조,기계의 동력차단장치,63,63,card,089_제88조_기계의 동력차단장치.pdf
90,제89조,운전 시작 전 조치,63,63,card,090_제89조_운전 시작 전 조치.pdf
91,제90조,날아오는 가공물 등에 의한 위험의 방지,64,64,card,091_제90조_날아오는 가공물 등에 의한 위험의 방지.pdf
92,제91조,고장난 기계의 정비 등,64,64,card,092_제91조_고장난 기계의 정비 등.pdf
93,제92조,정비 등의 작업 시의 운전정지 등,64,64,card,093_제92조_정비 등의 작업 시의 운전정지 등.pdf
94,제93조,방호장치의 해체 금지,65,65,card,094_제93조_방호장치의 해체 금지.pdf
95,제94조,작업모 등의 착용,65,65,card,095_제94조_작업모 등의 착용.pdf
96,제95조,장갑의 사용 금지,65,65,card,096_제95조_장갑의 사용 금지.pdf
97,제96조,작업도구 등의 목적 외 사용 금지 등,65,65,card,097_제96조_작업도구 등의 목적 외 사용 금지 등.pdf
98,제97조,볼트·너트의 풀림 방지,67,67,card,098_제97조_볼트·너트의 풀림 방지.pdf
99,제98조,제한속도의 지정 등,67,67,card,099_제98조_제한속도의 지정 등.pdf
100,제99조,운전위치 이탈 시의 조치,67,67,card,100_제99조_운전위치 이탈 시의 조치.pdf
101,제100조,띠톱기계의 덮개 등,68,68,card,101_제100조_띠톱기계의 덮개 등.pdf
102,제101조,원형톱기계의 톱날접촉예방장치,68,68,card,102_제101조_원형톱기계의 톱날접촉예방장치.pdf
103,제102조,탑승의 금지,68,68,card,103_제102조_탑승의 금지.pdf
104,제103조,프레스 등의 위험 방지,69,69,card,104_제103조_프레스 등의 위험 방지.pdf
105,제104조,금형조정작업의 위험 방지,69,69,card,105_제104조_금형조정작업의 위험 방지.pdf
106,제105조,둥근톱기계의 반발예방장치,70,70,card,106_제105조_둥근톱기계의 반발예방장치.pdf
107,제106조,둥근톱기계의 톱날접촉예방장치,70,70,card,107_제106조_둥근톱기계의 톱날접촉예방장치.pdf
108,제107조,띠톱기계의 덮개,70,70,card,108_제107조_띠톱기계의 덮개.pdf
109,제108조,띠톱기계의 날접촉예방장치 등,70,70,card,109_제108조_띠톱기계의 날접촉예방장치 등.pdf
110,제109조,대패기계의 날접촉예방장치,70,70,card,110_제109조_대패기계의 날접촉예방장치.pdf
